orig_index,update_flag,title,authors,journal,year,abstract,doi,hollow_flag
2119,R,Psychology of Risk Taking: New Research,"Nathanson, Caitlin E.",,2015,"risk-taking is viewed as an aspect of proneness to problem behavior and a maladaptive trait and the tendency to engage in behaviors whose outcome is uncertain and entails negative consequences. though risk-taking behavior is likely to be harmful or dangerous, it can also be functional and goal-directed and play an important part in developmental tasks. according to cognitive psychologists, many factors such as decision-making, perceptions'gains and losses, expectations about the future and biases in risk perception affect a persons'risk-taking behavior in developmental tasks. this book provides new research in the psychology of risk taking.",,FALSE
2121,G,Impaired reinforcement learning and Bayesian inference in psychiatric disorders : from maladaptive decision making to psychosis in schizophrenia,"Valton, Vincent",,2015,"computational modelling has been gaining an increasing amount of support from the neuroscience community as a tool to assay cognition and computational processes in the brain. lately, scientists have started to apply computational methods from neuroscience to the study of psychiatry to gain further insight into the mechanisms leading to mental disorders. in fact, only recently has psychiatry started to move away from categorising illnesses using behavioural symptoms in an attempt for a more biologically driven diagnosis. to date, several neurobiological anomalies have been found in schizophrenia and led to a multitude of conceptual framework attempting to link the biology to the patients’ symptoms. computational modelling can be applied to formalise these conceptual frameworks in an effort to test the validity or likelihood of each hypothesis. recently, a novel conceptual model has been proposed to describe how positive symptoms (delusions, hallucinations and thought disorder) and cognitive symptoms (poor decision-making, i.e. “executive functioning”) might arise in schizophrenia. this framework however, has not been tested experimentally or against computational models. the focus of this thesis was to use a combination of behavioural experiments and computational models to independently assess the validity of each component that make up this framework. the first study of this thesis focused on the computational analysis of a disrupted prediction-error signalling and its implications for decision-making performances in complex tasks. briefly, we used a reinforcement-learning model of a gambling task in rodents and disrupted the prediction-error signal known to be critical for learning. we found that this disruption can account for poor performances in decision-making due to an incorrect acquisition of the model of the world. this study illustrates how disruptions in prediction-error signalling (known to be present in schizophrenia) can lead to the acquisition of an incorrect world model which can lead to poor executive functioning or false beliefs (delusions) as seen in patients. the second study presented in this thesis addressed spatial working memory performances in chronic schizophrenia, bipolar disorder, first episode psychosis and family relatives of disc1 translocation carriers. we build a probabilistic inference model to solve the working memory task optimally and then implemented various alterations of this model to test commonly debated hypotheses of cognitive deficiency in schizophrenia. our goal was to find which of these hypotheses accounts best for the poor performance observed in patients. we found that while the performance at the task was significantly different for most patients groups in comparison to controls, this effect disappeared after controlling for iq in one group. the models were nonetheless fitted to the experimental data and suggest that working memory maintenance is most likely to account for the poor performances observed in patients. we propose that the maintenance of information in working memory might have indirect implications for measures of general cognitive performance, as these rely on a correct filtering of information against distractions and cortical noise. finally the third study presented in this thesis assessed the performance of medicated chronic schizophrenia patients in a statistical learning task of visual stimuli and measured how the acquired statistics influenced their perception. we find that patient with chronic schizophrenia appear to be unimpaired at statistical learning of visual stimuli. the acquired statistics however appear to induce less expectation-driven ‘hallucinations’ of the stimuli in the patients group than in controls. we find that this is in line with previous literature showing that patients are less susceptible to expectation-driven illusions than controls. this study highlights however the idea that perceptual processes during sensory integration diverge from this of healthy controls. in conclusion, this thesis suggests that impairments in reinforcement learning and bayesian inference appear to be able to account for the positive and cognitive symptoms observed in schizophrenia, but that further work is required to merge these findings. specifically, while our studies addressed individual components such as associative learning, working memory, implicit learning & perceptual inference, we cannot conclude that deficits of reinforcement learning and bayesian inference can collectively account for symptoms in schizophrenia. we argue however that the studies presented in this thesis provided evidence that impairments of reinforcement learning and bayesian inference are compatible with the emergence of positive and cognitive symptoms in schizophrenia.",,FALSE
2130,U,Competing neurobehavioral decision systems and the neuroeconomics of craving in opioid addiction.,"Sofis, Michael J.; Jarmolowicz, David P.; Martin, Laura E.",Neuroscience & Neuroeconomicss,2014,,10.2147/NAN.S38866,TRUE
2131,G,Poster Sessions.,,FEBS Journal,2014,,,TRUE
2134,G,Mini Oral Abstracts.,,Nephrology,2014,"the article presents abstracts on nephrology topics which includes interdialytic period (idp), albuminuria in aboriginal children and dendritic cells activation.",,TRUE
2135,G,"Abstracts of the 50th Annual Scientific Meeting of the Australian and New Zealand Society of Nephrology, 25-27 August, 2014, Melbourne, Australia.",,Nephrology,2014,,,TRUE
2140,R,Possible Role of Interleukin-1β in Type 2 Diabetes Onset and Implications for Anti-inflammatory Therapy Strategies.,"Zhao, Gang; Dharmadhikari, Gitanjali; Maedler, Kathrin; Meyer-Hermann, Michael",PLoS Computational Biology,2014,"increasing evidence of a role of chronic inflammation in type 2 diabetes progression has led to the development of therapies targeting the immune system. we develop a model of interleukin-1β dynamics in order to explain principles of disease onset. the parameters in the model are derived from in vitro experiments and patient data. in the framework of this model, an il-1β switch is sufficient and necessary to account for type 2 diabetes onset. the model suggests that treatments targeting glucose bear the potential of stopping progression from pre-diabetes to overt type 2 diabetes. however, once in overt type 2 diabetes, these treatments have to be complemented by adjuvant anti-inflammatory therapies in order to stop or decelerate disease progression. moreover, the model suggests that while glucose-lowering therapy needs to be continued all the way, dose and duration of the anti-inflammatory therapy needs to be specifically controlled. the model proposes a framework for the discussion of clinical trial outcomes.",,FALSE
2150,G,Poster Session A.,,Journal of Cognitive Neuroscience,2014,,,TRUE
2151,G,Poster Session C.,,Journal of Cognitive Neuroscience,2014,,,TRUE
2152,G,Poster Session D.,,Journal of Cognitive Neuroscience,2014,,,TRUE
2153,R,"Aging and risk taking: toward an integration of cognitive, emotional, and neurobiological perspectives.","Shao, Robin; Lee, Tatia MC",Neuroscience & Neuroeconomicss,2014,,,TRUE
2159,R,New Metropolitan Perspectives,Carmelina Bevilacqua; Francesco Calabrò; Lucia Della Spina,,2014,"the integrated approach of urban sustainable developmentselected, peer reviewed papers from the 1st international symposium'new metropolitan perspectives - the integrated approach of urban sustainable development through the implementation of horizon/europe 2020'(isth 2020), may 6-8, 2014, reggio calabria, italy",,TRUE
2164,R,Alcoa Inc. Investor Day - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2168,R,,,,,,,TRUE
2170,G,Poster Session Abstracts.,,Psychophysiology,2013,"the article presents abstracts on psychophysiological topics which include impact of picture repetition on affective modulation, impaired visual discrimination ability in poor cognitive control individuals, and decline of working memory in aging.",,TRUE
2172,R,Risky Behavior in Gambling Tasks in Individuals with ADHD – A Systematic Literature Review.,"Groen, Yvonne; Gaastra, Geraldina F.; Lewis-Evans, Ben; Tucha, Oliver",PLoS ONE,2013,"the aim of this review was to gain insight into the relationship between attention deficit hyperactivity disorder (adhd) and risky performance in gambling tasks and to identify any potential alternate explanatory factors.  psycinfo, pubmed, and web of knowledge were searched for relevant literature comparing individuals with adhd to normal controls (ncs) in relation to their risky performance on a gambling task. in total, fourteen studies in children/adolescents and eleven studies in adults were included in the review.  half of the studies looking at children/adolescents with adhd found evidence that they run more risks on gambling tasks when compared to ncs. only a minority of the studies on adults with adhd reported aberrant risky behavior. the effect sizes ranged from small to large for both age groups and the outcome pattern did not differ between studies that applied an implicit or explicit gambling task. two studies demonstrated that comorbid oppositional defiant disorder (odd) and conduct disorder (cd) increased risky behavior in adhd. limited and/or inconsistent evidence was found that comorbid internalizing disorders (ids), adhd subtype, methylphenidate use, and different forms of reward influenced the outcomes. conclusion: the evidence for increased risky performance of individuals with adhd on gambling tasks is mixed, but is stronger for children/adolescents with adhd than for adults with adhd, which may point to developmental changes in reward and/or penalty sensitivity or a publication bias for positive findings in children/adolescents. the literature suggests that comorbid odd/cd is a risk factor in adhd for increased risky behavior. comorbid ids, adhd subtype, methylphenidate use, and the form of reward received may affect risky performance in gambling tasks; however, these factors need further examination. finally, the implications of the findings for adhd models and the ecological validity of gambling tasks are discussed.",,FALSE
2175,R,Q3 2013 International Game Technology Earnings Conference Call - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2179,G,Poster Session I.,,Bipolar Disorders,2013,"the article presents abstracts of articles related to bipolar disorder which include ""sleep fragmentation and corticosterone response in sodium pump alpha-2 knockout mice,"" by m. b. roberts, y. gao, and r. s. el-mallakh, ""neurometabolite effects of lamotrigine treatment in bipolar depression,"" by p. croarkin and colleagues, and ""c9orf72 expansion in a family with bp disorder and ftd,"" by m. g. mcinnis and colleagues.",,FALSE
2182,G,Poster Session A.,,Journal of Cognitive Neuroscience,2013,,,TRUE
2183,G,Poster Session B.,,Journal of Cognitive Neuroscience,2013,,,TRUE
2184,G,Poster Session C.,,Journal of Cognitive Neuroscience,2013,,,TRUE
2197,G,Poster Session Abstracts.,,Psychophysiology,2012,"the article presents abstracts related to psychophysiology which include ""the modification of non-defensive reflex response during affective picture viewing,"" by suvi karla and colleagues, ""emotion system coherence flexibility in social context,"" by cristina gatti and mark geisler, and ""impaired cardiovascular functioning in obese participants,"" by ashley e. burch and michael t. allen.",,FALSE
2203,R,International Game Technology at Wells Fargo Gaming Conference - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2205,G,Physicians Poster AbstractsEBMT 2012.,,Bone Marrow Transplantation,2012,"the article presents abstracts of papers presented at the european group for blood and marrow transplantation (ebmt) 2012 meeting including ""the outcomes of allogeneic stem cell transplantation in aml patients with monosomal karyotypes,"" by j. h. moon and colleagues, ""reconstitution of human herpes virus 6 (hhv6)-specific t-cell immunity after paediatric hsct,"" by t. mina and colleagues, and ""examples of the use of stem cells from cord blood in poland,"" by t. oldak and colleagues.",,FALSE
2214,R,Advances in Intelligent Transportation System and Technology,De Cheng Feng,,2012,"selected, peer reviewed papers from the 1st international doctoral annual symposium on intelligent transportation technique and sustainable development, september 15-16, 2012, harbin, china",,TRUE
2216,U,Reflection impulsivity in adolescent cannabis users: a comparison with alcohol-using and non-substance-using adolescents.,"Solowij, Nadia; Jones, Katy A.; Rozman, Megan E.; Davis, Sasha M.; Ciarrochi, Joseph; Heaven, Patrick C.L.; Pesa, Nicole; Lubman, Dan I.; Yücel, Murat",Psychopharmacology,2012,,10.1007/s00213-011-2486-y,TRUE
2217,R,,,,,,,TRUE
2218,R,ADDICTION VOLUME 106 CONTENTS.,,Addiction,2011,"the table of contents for the january 2011 issue of ""addiction"" is presented.",,TRUE
2220,R,Q1 2012 WMS Industries Inc Earnings Conference Call - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2221,R,Event Brief of Q1 2012 WMS Industries Inc Earnings Conference Call - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2225,G,Poster Session Abstracts.,,Psychophysiology,2011,"the article presents abstracts on medical topics which include the function of anterior cingulated cortex (acc) in emotion-regulated response inhibition, the effects of attention on amygdala responses to emotional scenes and facial expressions, and the response patterns of anxiety sensitive persons to dyspnea sensations.",,TRUE
2227,G,"Abstracts of the International Pediatric Transplant Association (IPTA) 6th Congress on Pediatric Transplantation. June 25-28, 2011. Montreal, Canada.",,Pediatric Transplantation,2011,,,TRUE
2228,G,Abstracts.,,Pediatric Transplantation,2011,"the article presents abstracts on pediatric transplant studies which include ""establishment of a paediatric renal transplant service in tunisia,"" by i. mignon and colleagues, ""demographic features of the first pediatric heart transplantation center in brazil,"" by s. alexandre and colleagues, and ""combined liver/kidney transplantation in arab children,"" by i. m. ali and colleagues.",,FALSE
2229,R,The One-Armed Bandit Bandit.,,Wired,2011,the article focuses on cuban national rodolfo rodriguez cabrera who is known for counterfeiting slot machines in the u.s. it notes that cabrera has been interested in the slots made by international game technology (igt) which are powered by circuit boards containing rows of memory cards. it cites cabrera's development of a library of igt games and his sale of refurbished machines. information on the relationship between cabrera and former palms manager henry mantilla is provided.,,FALSE
2240,R,"Postprandial hyperlipidemia, endothelial dysfunction and cardiovascular risk: focus on incretins.",,Cardiovascular Diabetology,2011,"the article offers information on a research that reviews various studies conducted in relation to the postprandial hyperlipidemia, endothelial dysfunction and cardiovascular risk with special emphasis on incertins. the authors discusses postprandial lipid metabolism and its role in endothelial dysfunction and cardiovascular problems, modulation of postprandial hyperlipidemia by incertins and therapeutic role of incertins.",,TRUE
2241,R,Euro Superalloys 2010,Martin Heilmaier,,2011,"selected, peer reviewed papers from the european symposium on superalloys and their applications, 25-28 may, 2010, wildbach kreuth (germany)",,TRUE
2246,R,Q2 2011 Precision Castparts Earnings Conference Call - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2247,R,Event Brief of Q2 2011 Precision Castparts Earnings Conference Call - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2248,G,"Abstracts of the 21st International Symposium on ALS/MDS. December 11-13, 2010. Orlando, Florida, USA.",,Amyotrophic Lateral Sclerosis,2010,"the article presents abstracts related to amyotrophic lateral sclerosis (als) and motor neuron disease (mnd) including the articles ""aan practice parameters: what they tell us and what they don't,"" by r. g. miller and colleagues, ""characterizing the role of tdp-43 in als,"" by b. freibaum and colleagues, and ""quality of life: individual values, standardized assessment?,"" by s. r. cohen.",,FALSE
2249,G,SESSION 1 JOINT OPENING SESSION.,,Amyotrophic Lateral Sclerosis,2010,"the article presents abstracts on amyotrophic lateral sclerosis (als) which include perspective on als as tpd-43 proteinopathies, use of embroyonic stem cells for the study of motor neuron, and microrna dysregulation in sporadic als.",,TRUE
2250,G,Poster Session Abstracts.,,Psychophysiology,2010,"the article presents abstracts related to psychophysiology which include the impact in depression of distraction and rumination, the association of blunted neural reactivity and self monitoring with schizophrenia, and the abnormal responses of autism spectrum disorder (asd) patients to the sensory environment.",,TRUE
2253,G,Poster presentations (In alphabetical order by first author).,,Psychology & Health,2010,"the article presents abstracts on clinical health psychology topics which include the characteristics of foster parents, the effects of work-related traumatic incidents on the physical and psychological health of emergency nurses, and the psychological impact of prenatal procedures.",,TRUE
2259,R,Impulsivity: An Overview of a Biopsychosocial Model.,"Tansey, Timothy N.",Journal of Rehabilitation,2010,"in describing behaviors exhibited by some individuals applying for rehabilitation services, the terms impulsivity or impulse control are used. however, these terms are often used without a clear understanding of the construct of impulsivity and the underlying mechanisms associated with limited impulse control. in order to provide services consistent with customer needs, rehabilitation service providers should understand what the term impulsivity is describing and how to best assess an individual's ability to control impulses. recommendations for referrals and rehabilitation planning regarding individuals who display impulsive behaviors are provided.",,FALSE
2264,R,Precision Castparts at Macquarie Capital Industrial Conference - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2266,G,Workshops.,,European Journal of Clinical Investigation,2010,"the article presents abstracts on emerging aspects of phagocyte biology including migration of granulocytes to the inflamed peritoneum, role of kindlin-three in neutrophil integrin activation, and functions of gai2 and gai3 in neutrophils during inflammation.",,TRUE
2272,R,Neuroeconomics and the Firm,Angela A. Stanton; Mellani Day; Isabell M. Welpe,,2010,"the ideal firm has been studied over several centuries, yet little is known about what makes one successful and another fail. this pioneering book brings together leading researchers investigating the concept of the firm from a neuroscientific perspective. from the viewpoint of economics, the firm's purpose is to maximize shareholders'wealth; resources are commodities, each with its particular supply and demand curve that can be manipulated by the firm to its own benefit. traditionally, the firm is focused on the strategic, operational and resource management  the editors instead suggest that the objective of the firm is equal to the objectives of its workers. the definition and function of risk in decision-making, ethics, trust and the global financial crisis are all discussed. they are analyzed from the perspective of human bio-physiology, using scanning and hormonal analysis tools, with a focus on the implications for the bottom line of the firm. with experimental as well as theoretical and applied contributions, this book will benefit scholars and students of economics, business management, finance, organizational behavior, entrepreneurship, psychology, neuroscience and law. practitioners of management, entrepreneurship and law firms will also find this book to be a captivating read.",,FALSE
2273,G,"2nd European Congress on the Aging Male, September 3–5, 2009 in Budapest, Hungary.",,Aging Male,2009,"the article presents abstracts on medical topics which include the approach of the quebec government to the aging population, research on frailty of aging male as a disorder of hormonal synchrinology and the cultural differences, role and function of age groups in immigration context.",,TRUE
2274,R,International Game Technology at BMO Capital Markets Digital Entertainment Conference - Final,,Fair Disclosure Wire (Quarterly Earnings Reports),,,,TRUE
2275,G,Behavior Genetics Association 39th Annual Meeting Abstracts.,,Behavior Genetics,2009,"the article presents abstracts on behavioral genetics which include the structure of cannabis withdrawal, the relationship between early cannabis use and elevated mood, and genetic and environmental structure of cognitive factors.",,TRUE
2277,R,,,,,,,TRUE
2278,G,POSTER SESSION ABSTRACTS.,,Psychophysiology,2009,"the article presents abstracts on medical topics which include electrophysiological evidence for rapid preferential processing of electroshock conditioned faces, robotics and dopamine transporter.",,TRUE
2292,R,,,,,,,TRUE
2293,G,Poster Session Abstracts.,,Psychophysiology,2008,"the article contains poster session abstracts including ""affective modulation of the startle reflex in specific phobia,"" the modulation of skin conductance response to a defense stimulus by affective sounds,"" and ""impaired perception of dyspnea and pain after right insular cortex lesions.""",,TRUE
2294,G,Management - Diabetes.,,Current Medical Literature: Diabetes,2008,"the article presents studies on diabetes management. included in the list are ""metformin versus insulin for the treatment of gestational diabetes,"" by j. a. rowan et al, ""a microsphere-based vaccine prevents and reverses new-onset autoimmune diabetes,"" by b. phillips et al, and ""effect of varying glycemic index meals on blood glucose control assessed with continuous glucose monitoring in youth with type 1 diabetes on basal-bolus insulin regimens,"" by t. r. nansel et al.",,FALSE
2296,G,Monday 21st July 2008.,,International Journal of Psychology,2008,"the article presents abstracts on topics related to psychology, which include developing effective psychological treatments for anxiety disorders, the controversy between psychology and behaviour analysis, and cooperation of complementary learning systems in memory.",,TRUE
2297,G,Thursday 24th July 2008.,,International Journal of Psychology,2008,"the article presents abstracts on topics related to psychology, which include early childhood development in southern africa, treatment of post-traumatic stress disorder, and development of social cognition.",,TRUE
2298,G,Friday 25th July 2008.,,International Journal of Psychology,2008,"the article presents abstracts on topics related to psychology, which include emotion regulation and the social sharing of emotion, imaginary aspects of violence in schools in brazil, and cultural cognition.",,TRUE
2299,G,Track 1 – Track 5.,,International Journal of Obesity,2008,"the article presents abstracts on topics related to obesity which includes a study to find the tendency of overweight subjects to gain more weight than lean subjects, the isolation of fatty acids and differentiation of progenitor cells from human adipose tissue and the involvement of sirt 1 in resveratrol-stimulated changes in human adipocytes.",,TRUE
2301,R,Factor analysis of metabolic syndrome using direct measurement of insulin resistance in Chinese with different degrees of glucose tolerance.,Chung-Ze Wu; Jiunn-Diann Lin; Jer-Chuan Li; Fone-Ching Hsiao; Chang-Hsun Hsieh; Shi-Wen Kuo; Yi-Jen Hung; Chieh-Hua Lu; Chih-Tuseng He; Dee Pei,Indian Journal of Medical Research,2008,"with the increasing prevalence of type 2 diabetes and cardiovascular disease in taiwan, the understanding of metabolic syndrome (mets) becomes more important. the purpose of this study was to investigate the clustering patterns of the risk variables of the mets with factor analysis (facan).  a total of 564 chinese individuals with normal glucose tolerance (n, n=345), impaired glucose tolerance (igt, n=164) or diabetes mellitus (dm, n=55) were enrolled. insulin resistance was measured by insulin suppression test (ist). the components of mets such as waist hip ratio (whr), fasting plasma glucose (fpg), systolic blood pressure (sbp), diastolic blood pressure (dbp), triglyceride (tg), high density lipoprotein cholesterol (hdlc) and steady state plasma glucose (sspg) from ist were put into the model of exploratory facan.  in spite of the minor different loading patterns, three dimensions were identified in the three subgroups; a ""blood pressure"" dimension, loading with mainly sbp and dbp, an ""insulin resistance"" dimension, loading mainly with sspg, and an ""adiposity/glucose"" dimension loading with tg, whr or fpg. interpretation &  our results were consistent with different ethnic groups in earlier reports that more than two dimensions were identified and that the mets is not unified by a single underlying aetiology, i.e., insulin resistance. longitudinal analysis in this and other populations will be required to validate our findings and to test their generalisability.",,FALSE
2306,R,Obesity and T2DM in Youth.,"Weiss, Ram; Caprio, Sonia",Endocrine Research,2008,the article reports on the prevention and screening for type 2 diabetes and obesity in youth. it discusses that the prevention phase can happen at multiple levels in the maturation of the said disease. it infers that type 2 diabetes (t2dm) should itself be conceived a complication of obesity in sensitive children.,,TRUE
2307,U,Neurocognitive deficits related to poor decision making in people behind bars.,Eldad   Yechiam; Jason  E.  Kanz; Antoine   Bechara; Julie  C.  Stout; Jerome  R.  Busemeyer; Elizabeth  M.  Altmaier; Jane  S.  Paulsen,Psychonomic Bulletin & Review,2008,"using a novel quantitative model of repeated choice behavior, we investigated the cognitive processes of criminal offenders incarcerated for various crimes. eighty-one criminals, including violent offenders, drug and sex offenders, drivers operating a vehicle while impaired, and 18 matched controls were tested. the results were also contrasted with those obtained from neurological patients with focal brain lesions in the orbitofrontal cortex and from drug abusers. participants performed the computerized version of the iowa gambling task (bechara, damasio, damasio, & anderson, 1994), and the results were decomposed into specific component processes, using the expectancy valence model (busemeyer & stout, 2002). the findings indicated that whereas all the criminal groups tended to select disadvantageously, the cognitive profiles exhibited by different groups were considerably different. certain subpopulations—most significantly, drug and sex offenders—overweighted potential gains as compared with losses, similar to chronic cocaine abusers. in contrast, assault/murder criminals tended to make less consistent choices and to focus on immediate outcomes and, in these respects, were more similar to patients with orbitofrontal damage. the present cognitive model provides a novel way for building a bridge between cognitive neuroscience and complex human behaviors.",10.3758/PBR.15.1.44,FALSE
2314,G,Contributed Podium Presentations.,,Value in Health,2007,"the article presents abstracts for medical research. they include ""post-ami drug therapy and risk of reinfarction in a medicaid population,"" ""cost-effectiveness of rosuvastatin versus atorvastatin, simvastatin, and pravastatin from a canadian health care perspective,"" and ""benefit/risk of irbesartan/hydrochlorothiazide as first-line treatment of severe hypertension.""",,FALSE
2315,R,"Announcements Fellowships, Grants, & Awards.",,Environmental Health Perspectives,2007,this article provides news briefs pertaining to the environmental health field. the national cancer institute division of cancer prevention invites those interested to apply to the cancer prevention research small grant program. the areas of research for which the grant is best used for are presented. other details about the grant are presented. details about translational research for the prevention and control of diabetes and obesity are presented.,,FALSE
2318,G,Track 2 - Integrated Physiological Systems.,,International Journal of Obesity,2007,"the article offers information on several integrated physiological systems. topics include considered that low caloric diet therapy enhance satiation by ear acupuncture, herbal medicine and supplementary food on outpatient basis; and reports that malnutrition after weaning affects rats metabolism in a permanent manner.",,TRUE
2319,G,Track 4 - Public Health and Prevention.,,International Journal of Obesity,2007,the article offers information on public health and prevention. topics include considered relationship between obesity and blood pressure in australian inner city migrant children living in sydney; and examines the results of the bes study as adoption of unhealthy lifestyle among greek adolescents of a rural area.,,TRUE
2320,G,Track 2 - Integrated Physiological Systems.,,International Journal of Obesity,2007,"the article presents abstracts of integrated physiological systems. they include ""low calorie diet therapy with enhanced satiation by ear acupuncture, herbal medicine and supplementary food on outpatient basis,"" ""malnutrition after weaning affects rats metabolism in a permanent manner,"" and ""appetite hormones and energy intake after consumption of carbohydrate and protein-based beverages in obese men.""",,FALSE
2321,G,Track 4 - Public Health and Prevention.,,International Journal of Obesity,2007,"the article presents abstracts related to the health of obese persons. they include ""normoglyceamia and risk markers in overweight and obese women from turkey,"" ""prevalence of adolescent overweight in urban and rural areas of greece,"" and ""relative validity of a new, online dietary assessment method.""",,TRUE
2325,R,Handbook of Quantum Logic and Quantum Structures : Quantum Structures,Kurt Engesser; Dov M. Gabbay; Daniel Lehmann,,2007,"since its inception in the famous 1936 paper by birkhoff and von neumann entitled “the logic of quantum mechanics quantum logic, i.e. the logical investigation of quantum mechanics, has undergone an enormous development. various schools of thought and approaches have emerged and there are a variety of technical quantum logic is a heterogeneous field of research ranging from investigations which may be termed logical in the traditional sense to studies focusing on structures which are on the border between algebra and logic. for the latter structures the term quantum structures is appropriate. the chapters of this handbook, which are authored by the most eminent scholars in the field, constitute a comprehensive presentation of the main schools, approaches and results in the field of quantum logic and quantum structures. much of the material presented is of recent origin representing the frontier of the subject. the present volume focuses on quantum structures. among the structures studied extensively in this volume are, just to name a few, hilbert lattices, d-posets, effect algebras mv algebras, partially ordered abelian groups and those structures underlying quantum probability.- written by eminent scholars in the field of logic- a comprehensive presentation of the theory, approaches and results in the field of quantum logic- volume focuses on quantum structures",,FALSE
2330,G,In alphabetical order by first author.,,Psychology & Health,2006,"this section presents abstracts of articles about psychology and health. it includes ""the effects of a relaxation training programme for elementary school children,"" by m. abe and k. mori, ""the condom in sexual scripts,"" by m.-j. alvarez and l. garcia-marques, and ""health and work-related stress,"" by b. basinska.",,FALSE
2331,G,Abstracts: in alphabetical order by first author.,,Psychology & Health,2006,,,TRUE
2332,G,Abstracts.,,Psychology & Health,2006,,,TRUE
2335,G,"Abstracts from 31st FEBS Congress, Istanbul, Turkey, 24-29 June 2006.",,FEBS Journal,2006,,,TRUE
2336,G,ABSTRACT.,,FEBS Journal,2006,"the article presents medical abstracts. they include ""the yeast ccr4-not complex controls ubiquitination of the nascent-associated polypeptide complex,"" ""differential expression of isoforms of spleen tyrosine kinase of tissues: effects of the microbial flora"" and ""the serum interleukin 6 and c-reactive protein levels in the patients after trauma.""",,FALSE
2337,G,"British Geriatrics Society Communications to the Autumn Meeting 5th-7th October 2005, Harrogate.",,Age & Ageing,2006,,,TRUE
2339,G,Abstracts.,,European Journal of Clinical Investigation,2006,"the article presents abstracts of medical research. they include ""lack of association of serum uric acid levels with the occurrence and severity of angiographic documented coronary artery disease,"" ""the myocardial protective effects of high-dose atorvastatin during percutaneous coronary intervention in patients with unstable angina,"" ""evaluation of statin in decreasing the early mortality and morbidity of acute coronary syndrome: a clinical trial in shaheed rajaie cardiovascular medical and research center,"" ""type 2 diabetes is not a coronary artery disease risk equivalent,"" and ""lymphocytes t subpopulations in coronary heart disease patients.""",,FALSE
2340,G,"40th Annual Scientific Meeting of the European Society for Clinical Investigation, 15-18 March, Prague.",,European Journal of Clinical Investigation,2006,,,TRUE
2341,G,"1st Joint Meeting of the Austrian, German, and Swiss Societies for Cardiothoracic Surgery and Cardiology, Weissensee, January 18–21, 2006.",,European Surgery: ACA Acta Chirurgica Austriaca,2006,,,TRUE
2342,R,Pushing the Frontiers of Decision Making Neuroscience to Help Consumers Adopt Healthy Lifestyle in Our Modern Society of Plenty.,"Dubé, Laurette; Bechara, Antoine",Advances in Consumer Research,2006,"the article focuses on the results of several research studies which looked at the difficulties consumers face when attempting to make healthy food choices and adopt a healthy life style in societies of plenty, which offer large amounts of food to consumers that is less expensive and often more prevalent than healthy food. the ways human brain function has evolved during evolution, and may effect choice and decision making is examined. a discussion of the impact neuroscience can have on human choice and decision is presented.",,FALSE
2343,R,"Developmental Psychopathology, Volume 2 : Developmental Neuroscience",Dante Cicchetti; Donald J. Cohen,,2006,"this volume applies multiple levels of analysis to neurobiological developmental organization, and functioning in normality and psychopathology. it also covers topics central to a developmental perspective on neuroscience.",,TRUE
2344,R,Handbook of Models for Human Aging,P. Michael Conn,,2006,"the handbook of models for human aging is designed as the only comprehensive work available that covers the diversity of aging models currently available. for each animal model, it presents key aspects of biology, nutrition, factors affecting life span, methods of age determination, use in research, and disadvantages/advantes of use. chapters on comparative models take a broad sweep of age-related diseases, from alzheimer's to joint disease, cataracts, cancer, and obesity. in addition, there is an historical overview and discussion of model availability, key methods, and ethical issues. utilizes a multidisciplinary approach shows tricks and approaches not available in primary publications first volume of its kind to combine both methods of study for human aging and animal models over 200 illustrations",,FALSE
2349,G,Symposia.,,Quality of Life Research,2005,features several symposia on quality of life and medicine in the u.s. in 2005. range of issues and subject matter discussed by the symposia; keynote speakers; implications for studies of quality of life and medicine.,,TRUE
2354,G,Abstracts.,,Scandinavian Cardiovascular Journal. Supplement,2005,"a1signal-averaged ecg: foregoer to endomyocardial biopsy in rejection diagnosis after cardiac transplantation?rolf bennhagen 3 , leif sörnmo 1 , olle pahlm 2 , erkki pesonen 3 electrocardiology 1 , pediatric cardiac transplantation 2 , pediatric cardiology 3 , lund universityadult patients after myocardial infarction can exhibit sustained ventricular arrhythmias. late potentials detected with signal-averaged electrocardiography are known to be common in this group of patients compared to those without arrhythmias.after cardiac transplantation, acute cellular rejection is characterized by lymphocytic infiltration and a destruction of myocytes ressembling small myocardial infarctions.at present, endomyocardial biopsy is the gold standard to detect rejection. non-invasive complementary methods are desirable in monitoring rejection after cardiac transplantation.results from signal-averaged electrocardiograms and results from endomyocardial biopsy specimens are compared. late potentials were detected to a higher degree in individual leads than in conventional vectorcardiographic leads",,FALSE
