title,year,journal,issn,volume,issue,pages,authors,language,abstract,doi,keywords,orig_abstract,orig_index
Risk-promoting effects of reward-paired cues in human sign- and goal-trackers.,2024,Behav. brain res.,0166-4328,461,,114865,"Cherkasova, Mariya; Clark, Luke; Barton, Jason; Stoessl, Jon; Winstanley, Catharine",,": animal research suggests trait-like individual variation in the degree of incentive salience attribution to reward-predictive cues, defined phenotypically as sign-tracking (high) and goal-tracking (low incentive salience attribution). while these phenotypes have been linked to addiction features in rodents, their translational validity is less clear. here, we examined whether sign- and goal-tracking in healthy human volunteers modulates the effects of reward-paired cues on decision making. sign-tracking was measured in a pavlovian conditioning paradigm as the amount of eye gaze fixation on the reward-predictive cue versus the location of impending reward delivery. in study 1 (cherkasova et al., 2018), participants were randomly assigned to perform a binary choice task in which rewards were either accompanied (cued, n = 63) or unaccompanied (uncued, n = 68) by money images and casino jingles. in study 2, participants (n = 58) performed cued and uncued versions of the task in a within-subjects design. across both studies, cues promoted riskier choice. sign-tracking was not associated with risky choice in either study. goal-tracking rather than sign-tracking was significantly associated with greater risk-promoting effects of cues in study 1 but not in study 2, although the direction of findings was consistent across both studies. these findings are at odds with the notion of sign-trackers being preferentially susceptible to the influence of reward cues on behavior and point to the role of mechanisms besides incentive salience in mediating such influences.,",10.1016/j.bbr.2024.114865,Humans; Decision making; Cues; Reward; Goal-tracking; Sign-tracking,": Animal research suggests trait-like individual variation in the degree of incentive salience attribution to reward-predictive cues, defined phenotypically as sign-tracking (high) and goal-tracking (low incentive salience attribution). While these phenotypes have been linked to addiction features in rodents, their translational validity is less clear. Here, we examined whether sign- and goal-tracking in healthy human volunteers modulates the effects of reward-paired cues on decision making. Sign-tracking was measured in a Pavlovian conditioning paradigm as the amount of eye gaze fixation on the reward-predictive cue versus the location of impending reward delivery. In Study 1 (Cherkasova et al., 2018), participants were randomly assigned to perform a binary choice task in which rewards were either accompanied (cued, n = 63) or unaccompanied (uncued, n = 68) by money images and casino jingles. In Study 2, participants (n = 58) performed cued and uncued versions of the task in a within-subjects design. Across both studies, cues promoted riskier choice. Sign-tracking was not associated with risky choice in either study. Goal-tracking rather than sign-tracking was significantly associated with greater risk-promoting effects of cues in Study 1 but not in Study 2, although the direction of findings was consistent across both studies. These findings are at odds with the notion of sign-trackers being preferentially susceptible to the influence of reward cues on behavior and point to the role of mechanisms besides incentive salience in mediating such influences., (C) 2024Elsevier, Inc.",934
Risk behavior in opioid-dependent individuals after the administration of a therapeutic dose of methadone.,2014,The American Journal on Addictions,1055-0496,23,6,608-612,"Gorzelanczyk, Edward Jacek; Fareed, Ayman; Walecki, Piotr; Feit, Julia; Kunc, Marek",English,"evidence suggests that methadone may play a protective role in the faulty decision-making in heroin-addicted individuals. this may reduce craving for opioids and the risky decisions associated with active opioid use. we tested the effect of a daily therapeutic dose of methadone on faulty decision-making in eighty (n = 80) individuals with a history of opioid addiction. we used the iowa gambling task (igt) and compared the score and response time before and after the daily methadone dosing. the mean net igt score before methadone dose was 10 (+/- 22) and 22 (+/- 23) after methadone dose (t = 4.23, p = .00006). these results reflect statistically significant improvement in faulty decisions after the administration of the daily methadone dose. the mean response time for the reward cards before methadone dose were 1,856 ms (+/- 871) and 1,465 ms (+/- 851) after methadone dose (t = 2.55, p = .012). the mean response time for the punishment cards before methadone dose were 1,688 ms (+/- 911) and 1,399 ms (+/- 827) after methadone dose (t = 1.86, p = .065). these results reflect statistically significant improvement in response time to a rewarding healthy decisions after the administration of the daily methadone dose. conclusions and scientific significance: this is the first study to report the effect of a therapeutic dose of methadone on improving faulty decisions for individuals with a long history of opioids addiction. this study demonstrated that the time to making a healthy decision was significantly shorter as a result of administration of methadone.",10.1111/j.1521-0391.2014.12154.x,Decision Making; Risk Taking; Heroin; *Drug Dosages; *Opiates; *Drug Dependency; Drug Addiction; *Therapeutic Processes; Harm Reduction; Methadone,"Background and Objectives: Evidence suggests that methadone may play a protective role in the faulty decision-making in heroin-addicted individuals. This may reduce craving for opioids and the risky decisions associated with active opioid use. Methods: We tested the effect of a daily therapeutic dose of methadone on faulty decision-making in eighty (n = 80) individuals with a history of opioid addiction. We used the Iowa Gambling Task (IGT) and compared the score and response time before and after the daily methadone dosing. Results: The mean net IGT score before methadone dose was 10 (+/- 22) and 22 (+/- 23) after methadone dose (t = 4.23, p = .00006). These results reflect statistically significant improvement in faulty decisions after the administration of the daily methadone dose. The mean response time for the reward cards before methadone dose were 1,856 ms (+/- 871) and 1,465 ms (+/- 851) after methadone dose (t = 2.55, p = .012). The mean response time for the punishment cards before methadone dose were 1,688 ms (+/- 911) and 1,399 ms (+/- 827) after methadone dose (t = 1.86, p = .065). These results reflect statistically significant improvement in response time to a rewarding healthy decisions after the administration of the daily methadone dose. Conclusions and Scientific Significance: This is the first study to report the effect of a therapeutic dose of methadone on improving faulty decisions for individuals with a long history of opioids addiction. This study demonstrated that the time to making a healthy decision was significantly shorter as a result of administration of methadone. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",625
Computational models inform clinical science and assessment: An application to category learning in striatal-damaged patients.,2010,Journal of Mathematical Psychology,0022-2496,54,1,109-122,"Maddox, W. Todd; Filoteo, J. Vincent; Zeithamova, Dagmar",English,"in this article we develop a new model of classification that is intermediate between the static, single strategy decision-bound models and the dynamic trial by trial multiple systems model, dcovis. the new model, referred to as the scovis model, assumes hypothesis-testing and procedural-based subsystems are active on each trial, but that the parameters that govern behavior of the system are fixed (static) within a block of trials. to determine the clinical utility of the model, it was applied to nonlinear information- integration classification data from patients with parkinson's (pd) and huntington's disease (hd). in one application, the models suggest that the locus of hd patients' nonlinear information-integration deficits is in their increased reliance on hypothesis-testing strategies, whereas the locus of pd patients' deficit is in the application of sub-optimal procedural-based strategies. in a second application, the weight associated with the hypothesis-testing subsystem is shown to account for a significant amount of the variance in longitudinal cognitive decline in non-demented pd patients above and beyond that predicted by accuracy alone. together, the accuracy rate and this model index account for 72% of the total variance associated with cognitive decline in this sample of pd patients. interestingly, the wisconsin card sort task added no additional predictive power above and beyond that predicted by nonlinear accuracy alone.",10.1016/j.jmp.2009.01.004,Measurement; *Computational Modeling; *Models; *Brain Damage; Patients,"In this article we develop a new model of classification that is intermediate between the static, single strategy decision-bound models and the dynamic trial by trial multiple systems model, dCOVIS. The new model, referred to as the sCOVIS model, assumes hypothesis-testing and procedural-based subsystems are active on each trial, but that the parameters that govern behavior of the system are fixed (static) within a block of trials. To determine the clinical utility of the model, it was applied to nonlinear information- integration classification data from patients with Parkinson's (PD) and Huntington's disease (HD). In one application, the models suggest that the locus of HD patients' nonlinear information-integration deficits is in their increased reliance on hypothesis-testing strategies, whereas the locus of PD patients' deficit is in the application of sub-optimal procedural-based strategies. In a second application, the weight associated with the hypothesis-testing subsystem is shown to account for a significant amount of the variance in longitudinal cognitive decline in non-demented PD patients above and beyond that predicted by accuracy alone. Together, the accuracy rate and this model index account for 72% of the total variance associated with cognitive decline in this sample of PD patients. Interestingly, the Wisconsin Card Sort task added no additional predictive power above and beyond that predicted by nonlinear accuracy alone. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",817
"Relationships between executive function, working memory, and decision-making on the Iowa Gambling Task: Evidence from ventromedial patients, dorsolateral patients, and normal subjects.",2019,Journal of Neuropsychology,1748-6645,13,3,432-461,"Ouerchefani, Riadh; Ouerchefani, Naoufel; Allain, Philippe; Ben Rejeb, Mohamed Riadh; Le Gall, Didier",English,"the results of previous studies are inconsistent in regard to the relationship between the iowa gambling task (igt), working-memory (wm), and executive tasks, and whether these cognitive processes could be considered as mechanisms underlying a decision-making deficit. moreover, the relationship between the igt and executive measures is examined based on a limited number of executive tasks, within different populations showing diffuse damage. in addition, there are fewer studies carried out within control participants, with those studies also being inconclusive. it is also suggested that the association of the igt performance with executive tasks depends on whether the igt was running under ambiguity or under risk. in this work, all of these issues are studied. results showed that both patients with ventromedial (vmpfc, n = 10) and dorsolateral (dlpfc, n = 10) prefrontal cortex lesions are significantly impaired on almost all executive tasks, wm tasks, and the igt. furthermore, when the igt is run under risk, there are significant correlations between executive measures and the igt for the dlpfc patients and the control participants (n = 34) but not the vmpfc patients. no correlation was found between wm tasks and the igt for both frontal subgroups and control participants. these findings suggested that the mechanisms underlying the igt deficit differ according to the lesion locations.",10.1111/jnp.12156,Prefrontal Cortex; Lesions; Risk Factors; Short Term Memory; *Decision Making; *Executive Function; *Cognitive Processes; *Brain Damage,"The results of previous studies are inconsistent in regard to the relationship between the Iowa Gambling Task (IGT), working-memory (WM), and executive tasks, and whether these cognitive processes could be considered as mechanisms underlying a decision-making deficit. Moreover, the relationship between the IGT and executive measures is examined based on a limited number of executive tasks, within different populations showing diffuse damage. In addition, there are fewer studies carried out within control participants, with those studies also being inconclusive. It is also suggested that the association of the IGT performance with executive tasks depends on whether the IGT was running under ambiguity or under risk. In this work, all of these issues are studied. Results showed that both patients with ventromedial (VMPFC, N = 10) and dorsolateral (DLPFC, N = 10) prefrontal cortex lesions are significantly impaired on almost all executive tasks, WM tasks, and the IGT. Furthermore, when the IGT is run under risk, there are significant correlations between executive measures and the IGT for the DLPFC patients and the control participants (N = 34) but not the VMPFC patients. No correlation was found between WM tasks and the IGT for both frontal subgroups and control participants. These findings suggested that the mechanisms underlying the IGT deficit differ according to the lesion locations. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",342
Quantum reinforcement learning during human decision-making,2020,NATURE HUMAN BEHAVIOUR,2397-3374,4,3,294-307,"Li, JA; Dong, DY; Wei, ZD; Liu, Y; Pan, Y; Nori, F; Zhang, XC",English,"li et al. show that human value-based decision-making can be modelled using the quantum reinforcement learning framework. these new models reveal the importance of the medial frontal cortex in this quantum-like decision-making process. classical reinforcement learning (crl) has been widely applied in neuroscience and psychology; however, quantum reinforcement learning (qrl), which shows superior performance in computer simulations, has never been empirically tested on human decision-making. moreover, all current successful quantum models for human cognition lack connections to neuroscience. here we studied whether qrl can properly explain value-based decision-making. we compared 2 qrl and 12 crl models by using behavioural and functional magnetic resonance imaging data from healthy and cigarette-smoking subjects performing the iowa gambling task. in all groups, the qrl models performed well when compared with the best crl models and further revealed the representation of quantum-like internal-state-related variables in the medial frontal gyrus in both healthy subjects and smokers, suggesting that value-based decision-making can be illustrated by qrl at both the behavioural and neural levels.",10.1038/s41562-019-0804-2,CORTEX; DISTINCT; IMPLEMENTATION; INTERFERENCE; MODELS; NEURAL REPRESENTATION; REWARD; RISK; SUPPLEMENTARY; UNCERTAINTY,"Li et al. show that human value-based decision-making can be modelled using the quantum reinforcement learning framework. These new models reveal the importance of the medial frontal cortex in this quantum-like decision-making process. Classical reinforcement learning (CRL) has been widely applied in neuroscience and psychology; however, quantum reinforcement learning (QRL), which shows superior performance in computer simulations, has never been empirically tested on human decision-making. Moreover, all current successful quantum models for human cognition lack connections to neuroscience. Here we studied whether QRL can properly explain value-based decision-making. We compared 2 QRL and 12 CRL models by using behavioural and functional magnetic resonance imaging data from healthy and cigarette-smoking subjects performing the Iowa Gambling Task. In all groups, the QRL models performed well when compared with the best CRL models and further revealed the representation of quantum-like internal-state-related variables in the medial frontal gyrus in both healthy subjects and smokers, suggesting that value-based decision-making can be illustrated by QRL at both the behavioural and neural levels.",13
Human Problem Solving in 2012.,2013,Journal of Problem Solving,19326246,6,1,19-Feb,"Funke, Joachim",,"this paper presents a bibliography of 263 references related to human problem solving, arranged by subject matter. the references were taken from psycinfo and academic premier database. journal papers, book chapters, and dissertations are included. the topics include human development, education, neuroscience, and research in applied settings. it is argued that researchers are more and more engaged with problem solving research because of its centrality in human actions and because society needs advice from science in understanding and solving complex problems.",10.7771/1932-6246.1156,PROBLEM solving; NEUROSCIENCES; bibliography; DATABASES; EDUCATION; problem solving; SCHOLARLY periodicals,"This paper presents a bibliography of 263 references related to human problem solving, arranged by subject matter. The references were taken from PsycInfo and Academic Premier database. Journal papers, book chapters, and dissertations are included. The topics include human development, education, neuroscience, and research in applied settings. It is argued that researchers are more and more engaged with problem solving research because of its centrality in human actions and because society needs advice from science in understanding and solving complex problems. [ABSTRACT FROM AUTHOR]",2169
Decisional capacity in mental illness and substance use disorders: empirical database and policy implications.,2006,Behavioral Sciences & the Law,7353936,24,4,607-628,"Jeste, Dilip V.; Saks, Elyn",,"debates on decisional capacity in people with mental illnesses or substance use disorders have tended to be heated. yet, they are often based not on empirical data but on personal opinions and experiences. the empirical database in this area is quite limited, but has been growing in recent years. the following discussion focuses on relevant clinical investigations. we consider variations across and within different diagnoses, barriers to decision-making, methods for assessing capacityÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂinterview versus instruments, choosing from among different capacity instruments, decisional capacityÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂis it a state or a trait?, triggers for assessment of decisional capacity, methods for enhancing capacity, and decisional capacity in people with substance use disorders. finally, we discuss some relevant health policy recommendations.",10.1002/bsl.707,ADDICTIONS; DECISION making; MENTAL illness; SUBSTANCE abuse; LEGAL status of patients,"Debates on decisional capacity in people with mental illnesses or substance use disorders have tended to be heated. Yet, they are often based not on empirical data but on personal opinions and experiences. The empirical database in this area is quite limited, but has been growing in recent years. The following discussion focuses on relevant clinical investigations. We consider variations across and within different diagnoses, barriers to decision-making, methods for assessing capacityÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂinterview versus instruments, choosing from among different capacity instruments, decisional capacityÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂis it a state or a trait?, triggers for assessment of decisional capacity, methods for enhancing capacity, and decisional capacity in people with substance use disorders. Finally, we discuss some relevant health policy recommendations. Copyright ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© 2006 John Wiley & Sons, Ltd. [ABSTRACT FROM AUTHOR]",2333
Dopamine increases a value-independent gambling propensity.,2016,Neuropsychopharmacology,0893-133X,41,11,2658-2667,"Rigoli, Francesco; Rutledge, Robb B; Chew, Benjamin; Ousdal, Olga T; Dayan, Peter; Dolan, Raymond J",English,"although the impact of dopamine on reward learning is well documented, its influence on other aspects of behavior remains the subject of much ongoing work. dopaminergic drugs are known to increase risk-taking behavior, but the underlying mechanisms for this effect are not clear. we probed dopamine's role by examining the effect of its precursor l-dopa on the choices of healthy human participants in an experimental paradigm that allowed particular components of risk to be distinguished. we show that choice behavior depended on a baseline (ie, value-independent) gambling propensity, a gambling preference scaling with the amount/variance, and a value normalization factor. boosting dopamine levels specifically increased just the value-independent baseline gambling propensity, leaving the other components unaffected. our results indicate that the influence of dopamine on choice behavior involves a specific modulation of the attractiveness of risky options-a finding with implications for understanding a range of reward-related psychopathologies including addiction.",10.1038/npp.2016.68,*Gambling; *Dopamine; *Psychopathology; *At Risk Populations; *Pharmacology,"Although the impact of dopamine on reward learning is well documented, its influence on other aspects of behavior remains the subject of much ongoing work. Dopaminergic drugs are known to increase risk-taking behavior, but the underlying mechanisms for this effect are not clear. We probed dopamine's role by examining the effect of its precursor L-DOPA on the choices of healthy human participants in an experimental paradigm that allowed particular components of risk to be distinguished. We show that choice behavior depended on a baseline (ie, value-independent) gambling propensity, a gambling preference scaling with the amount/variance, and a value normalization factor. Boosting dopamine levels specifically increased just the value-independent baseline gambling propensity, leaving the other components unaffected. Our results indicate that the influence of dopamine on choice behavior involves a specific modulation of the attractiveness of risky options-a finding with implications for understanding a range of reward-related psychopathologies including addiction. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",465
Identifying new susceptibility genes on dopaminergic and serotonergic pathways for the framing effect in decision-making.,2017,Soc. cogn. affect. neurosci.,1749-5016,12,9,1534-1544,"Gao, X; Liu, J; Gong, P; Wang, J; Fang, W; Yan, H; Zhu, L; Zhou, X",,"The framing effect refers the tendency to be risk-averse when options are presented positively but be risk-seeking when the same options are presented negatively during decision-making. This effect has been found to be modulated by the serotonin transporter gene (SLC6A4) and the catechol-o-methyltransferase gene (COMT) polymorphisms, which are on the dopaminergic and serotonergic pathways and which are associated with affective processing. The current study aimed to identify new genetic variations of genes on dopaminergic and serotonergic pathways that may contribute to individual differences in the susceptibility to framing. Using genome-wide association data and the gene-based principal components regression method, we examined genetic variations of 26 genes on the pathways in 1317 Chinese Han participants. Consistent with previous studies, we found that the genetic variations of the SLC6A4 gene and the COMT gene were associated with the framing effect. More importantly, we demonstrated that the genetic variations of the aromatic-L-amino-acid decarboxylase (DDC) gene, which is involved in the synthesis of both dopamine and serotonin, contributed to individual differences in the susceptibility to framing. Our findings shed light on the understanding of the genetic basis of affective decision-making",10.1093/scan/nsx062,decision-making; GWAS; COMT; DDC; framing effect; SLC6A4,,1223
Processing of continuously provided punishment and reward in children with ADHD and the modulating effects of stimulant medication: An ERP study.,2013,PLoS ONE,,8,3,,"Groen, Yvonne; Tucha, Oliver; Wijers, Albertus A; Althaus, Monika",English,"current models of adhd suggest abnormal reward and punishment sensitivity, but the exact mechanisms are unclear. this study aims to investigate effects of continuous reward and punishment on the processing of performance feedback in children with adhd and the modulating effects of stimulant medication. 15 methylphenidate (mph)-treated and 15 mph-free children of the adhd-combined type and 17 control children performed a selective attention task with three feedback conditions: no-feedback, gain and loss. event related potentials (erps) time-locked to feedback and errors were computed. all groups performed more accurately with gain and loss than without feedback. feedback-related erps demonstrated no group differences in the feedback p2, but an enhanced late positive potential (lpp) to feedback stimuli (both gains and losses) for mph-free children with adhd compared to controls. feedback-related erps in mph-treated children with adhd were similar to controls. correlational analyses in the adhd groups revealed that the severity of inattention problems correlated negatively with the feedback p2 amplitude and positively with the lpp to losses and omitted gains. the early selective attention for rewarding and punishing feedback was relatively intact in children with adhd, but the late feedback processing was deviant (increased feedback lpp). this may explain the often observed positive effects of continuous reinforcement on performance and behaviour in children with adhd. however, these group findings cannot be generalised to all individuals with the adhd, because the feedback-related erps were associated with the severity of the inattention problems. children with adhd-combined type with more inattention problems showed both deviant early attentional selection of feedback stimuli, and deviant late processing of non-reward and punishment.",10.1371/journal.pone.0059240,*Rewards; *Drug Therapy; *Attention Deficit Disorder with Hyperactivity; *Punishment; Feedback; *Selective Attention; Methylphenidate,"Objectives: Current models of ADHD suggest abnormal reward and punishment sensitivity, but the exact mechanisms are unclear. This study aims to investigate effects of continuous reward and punishment on the processing of performance feedback in children with ADHD and the modulating effects of stimulant medication. Methods: 15 Methylphenidate (Mph)-treated and 15 Mph-free children of the ADHD-combined type and 17 control children performed a selective attention task with three feedback conditions: no-feedback, gain and loss. Event Related Potentials (ERPs) time-locked to feedback and errors were computed. Results: All groups performed more accurately with gain and loss than without feedback. Feedback-related ERPs demonstrated no group differences in the feedback P2, but an enhanced late positive potential (LPP) to feedback stimuli (both gains and losses) for Mph-free children with ADHD compared to controls. Feedback-related ERPs in Mph-treated children with ADHD were similar to controls. Correlational analyses in the ADHD groups revealed that the severity of inattention problems correlated negatively with the feedback P2 amplitude and positively with the LPP to losses and omitted gains. Conclusions: The early selective attention for rewarding and punishing feedback was relatively intact in children with ADHD, but the late feedback processing was deviant (increased feedback LPP). This may explain the often observed positive effects of continuous reinforcement on performance and behaviour in children with ADHD. However, these group findings cannot be generalised to all individuals with the ADHD, because the feedback-related ERPs were associated with the severity of the inattention problems. Children with ADHD-combined type with more inattention problems showed both deviant early attentional selection of feedback stimuli, and deviant late processing of non-reward and punishment. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",671
Strategy switching in a sequence of decisions: Evidence from the Iowa Gambling Task.,2023,Acta Psychologica Sinica,0439-755X,55,11,No-Specified,"Hu, Xinyun; Shen, Yue; Dai, Junyi",Chinese,"much previous research has investigated strategies for various decision tasks with a sequence of trials. by assuming each individual adopted a single decision strategy across all trials and comparing corresponding computational cognitive models in terms of their performances in fitting empirical data, such research has revealed multiple decision strategies for various decision tasks. a common drawback of such research, however, was a neglect of the possibility that individuals switched their strategies during the relevant tasks. in study 1, we developed a computational cognitive model for the iowa gambling task (igt) allowing for one switch between a reinforcement learning strategy and a heuristic strategy (i.e., strategy-switch-once or sso model). the results of model comparison between the sso model and single-strategy models provided clear evidence that individuals might change their strategies along the sequence of decisions in the igt. study 2 showed further that a higher proportion of individual data from a 200-trial igt were fitted best by the sso model than was the case among individual data from the standard, 100-trial igt. these findings underscored the importance of considering potential strategy switching in a sequence of decision trials for a more proper understanding of decision strategies in various tasks, especially for a long sequence of decisions. for a deeper understanding of psychological mechanisms underlying sequences of decisions, future research might further investigate various forms of strategy switching such as gradual versus abrupt switches and task and individual factors that trigger such switches.",10.3724/sp.j.1041.2023.01793,*Decision Making; *Computational Modeling; *Computational Reinforcement Learning; *Heuristics,"Much previous research has investigated strategies for various decision tasks with a sequence of trials. By assuming each individual adopted a single decision strategy across all trials and comparing corresponding computational cognitive models in terms of their performances in fitting empirical data, such research has revealed multiple decision strategies for various decision tasks. A common drawback of such research, however, was a neglect of the possibility that individuals switched their strategies during the relevant tasks. In Study 1, we developed a computational cognitive model for the Iowa Gambling Task (IGT) allowing for one switch between a reinforcement learning strategy and a heuristic strategy (i.e., strategy-switch-once or SSO model). The results of model comparison between the SSO model and single-strategy models provided clear evidence that individuals might change their strategies along the sequence of decisions in the IGT. Study 2 showed further that a higher proportion of individual data from a 200-trial IGT were fitted best by the SSO model than was the case among individual data from the standard, 100-trial IGT. These findings underscored the importance of considering potential strategy switching in a sequence of decision trials for a more proper understanding of decision strategies in various tasks, especially for a long sequence of decisions. For a deeper understanding of psychological mechanisms underlying sequences of decisions, future research might further investigate various forms of strategy switching such as gradual versus abrupt switches and task and individual factors that trigger such switches. (PsycInfo Database Record (c) 2024 APA, all rights reserved)",81
Psychopathic personality traits and Iowa Gambling Task performance in incarcerated offenders.,2015,"Psychiatry, Psychology and Law",1321-8719,22,1,134-144,"Hughes, Melissa A; Dolan, Mairead C; Trueblood, Jennifer S; Stout, Julie C",English,"there is a paucity of research on how psychopathy relates to decision-making. in this study, we assessed the relationship between affective decision-making and psychopathic personality. a sample of prisoners (n = 49) was characterized in terms of psychopathic traits using the psychopathic checklist: screening version (pcl:sv). decision-making was assessed using the iowa gambling task (igt). higher levels of psychopathy related to more advantageous choices (p = .003). also counter-intuitively, higher levels of antisocial traits (facet 4) predicted advantageous choices during the learning phase of the task (p = .004). our findings suggest that some psychopathic facets may be more relevant to decision-making under risk, and highlight the importance of further investigations considering facet and trait-level relationships with decision-making.",10.1080/13218719.2014.919689,Gambling; *Decision Making; *Psychopathy; *Psychological Assessment; *Antisocial Personality Disorder; Psychiatric Evaluation; *Incarcerated; Criminal Offenders,"There is a paucity of research on how psychopathy relates to decision-making. In this study, we assessed the relationship between affective decision-making and psychopathic personality. A sample of prisoners (n = 49) was characterized in terms of psychopathic traits using the Psychopathic Checklist: Screening Version (PCL:SV). Decision-making was assessed using the Iowa Gambling Task (IGT). Higher levels of psychopathy related to more advantageous choices (p = .003). Also counter-intuitively, higher levels of antisocial traits (facet 4) predicted advantageous choices during the learning phase of the task (p = .004). Our findings suggest that some psychopathic facets may be more relevant to decision-making under risk, and highlight the importance of further investigations considering facet and trait-level relationships with decision-making. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",524
An associability decay model of paradoxical choice.,2018,Journal of Experimental Psychology: Animal Learning and Cognition,2329-8456,44,3,258-271,"Daniels, Carter W; Sanabria, Federico",English,"paradoxical choices in human and nonhuman animals represent substantial deviations from rational models of behavior; such deviations often demand models that incorporate multiple perspectives, including psychology, biology, and economics. the past couple of decades have seen an increased interest in the paradoxical choice of pigeons in 2-armed bandit tasks (2abt) developed by zentall and colleagues. in these 2abts, pigeons, but not rats, systematically choose an alternative that yields less reward over multiple trials but provides more information on events within a trial, over an alternative that yields more reward over trials but provides less information on events within a trial. although current computational models account for much of the extant data generated in studies on 2abt choice, they do not explain, in a trial-by-trial basis, how pigeons learn to ignore some stimuli and not others in 2abts. to address the provenance of this differential allocation of attention, a simple model composed of bush-mosteller linear operators and a pearce-hall-like associability mechanism is proposed. this model, referred to as the associability decay model (adm) of paradoxical choice, adequately accounts for the performance of pigeons and rats in 2abts. the adm yields an untested prediction that is inconsistent with other computational models of 2abt performance, and offers potential explanations for why differences in motivation, social enrichment, and impulsivity alter the degree to which pigeons systematically choose information despite earning fewer rewards. the success of the adm shows that a relatively simple dynamic trial-by-trial model can account for much of the extant paradoxical-choice data while identifying opportunities for further study and refinement of models of 2abt performance.",10.1037/xan0000179,*Choice Behavior; *Computational Modeling; *Rats; *Attention; *Pigeons,"Paradoxical choices in human and nonhuman animals represent substantial deviations from rational models of behavior; such deviations often demand models that incorporate multiple perspectives, including psychology, biology, and economics. The past couple of decades have seen an increased interest in the paradoxical choice of pigeons in 2-armed bandit tasks (2ABT) developed by Zentall and colleagues. In these 2ABTs, pigeons, but not rats, systematically choose an alternative that yields less reward over multiple trials but provides more information on events within a trial, over an alternative that yields more reward over trials but provides less information on events within a trial. Although current computational models account for much of the extant data generated in studies on 2ABT choice, they do not explain, in a trial-by-trial basis, how pigeons learn to ignore some stimuli and not others in 2ABTs. To address the provenance of this differential allocation of attention, a simple model composed of Bush-Mosteller linear operators and a Pearce-Hall-like associability mechanism is proposed. This model, referred to as the Associability Decay Model (ADM) of paradoxical choice, adequately accounts for the performance of pigeons and rats in 2ABTs. The ADM yields an untested prediction that is inconsistent with other computational models of 2ABT performance, and offers potential explanations for why differences in motivation, social enrichment, and impulsivity alter the degree to which pigeons systematically choose information despite earning fewer rewards. The success of the ADM shows that a relatively simple dynamic trial-by-trial model can account for much of the extant paradoxical-choice data while identifying opportunities for further study and refinement of models of 2ABT performance. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",377
"A Self-Regulatory Model of Behavioral Disinhibition in Late Adolescence: Integrating Personality Traits, Externalizing Psychopathology, and Cognitive Capacity.",2010,Journal of Personality,223506,78,2,441-470,"Bogg, Tim; Finn, Peter R.",,"two samples with heterogeneous prevalence of externalizing psychopathology were used to investigate the structure of self-regulatory models of behavioral disinhibition and cognitive capacity. consistent with expectations, structural equation modeling in the first sample ( n=541) showed a hierarchical model with 3 lower order factors of impulsive sensation seeking, antisociality/unconventionality, and lifetime externalizing problem counts, with a behavioral disinhibition superfactor best accounted for the pattern of covariation among 6 disinhibited personality trait indicators and 4 externalizing problem indicators. the structure was replicated in a second sample ( n=463) and showed that the behavioral disinhibition superfactor, and not the lower order impulsive sensation seeking, antisociality/unconventionality, and externalizing problem factors, was associated with lower iq, reduced short-term memory capacity, and reduced working memory capacity. the results provide a systemic and meaningful integration of major self-regulatory influences during a developmentally important stage of life.",10.1111/j.1467-6494.2010.00622.x,PERSONALITY; BEHAVIOR; TEENAGERS; SHORT-term memory; COGNITIVE ability; ADOLESCENCE; PATHOLOGICAL psychology; INDIVIDUALITY; SOCIAL psychology,"Two samples with heterogeneous prevalence of externalizing psychopathology were used to investigate the structure of self-regulatory models of behavioral disinhibition and cognitive capacity. Consistent with expectations, structural equation modeling in the first sample ( N=541) showed a hierarchical model with 3 lower order factors of impulsive sensation seeking, antisociality/unconventionality, and lifetime externalizing problem counts, with a behavioral disinhibition superfactor best accounted for the pattern of covariation among 6 disinhibited personality trait indicators and 4 externalizing problem indicators. The structure was replicated in a second sample ( N=463) and showed that the behavioral disinhibition superfactor, and not the lower order impulsive sensation seeking, antisociality/unconventionality, and externalizing problem factors, was associated with lower IQ, reduced short-term memory capacity, and reduced working memory capacity. The results provide a systemic and meaningful integration of major self-regulatory influences during a developmentally important stage of life. [ABSTRACT FROM AUTHOR]",2265
